date,cases
2022-12-23,656604975
2022-12-24,656949354
2022-12-25,657135648
2022-12-26,657655053
2022-12-27,658309208
2022-12-28,658946340
2022-12-29,659617625
2022-12-30,660199728
2022-12-31,660463792
2023-01-01,660778387
2023-01-02,661198108
2023-01-03,661660893
2023-01-04,662231345
2023-01-05,662966595
2023-01-06,663685449
2023-01-07,664042494
2023-01-08,664369944
2023-01-09,664718936
2023-01-10,665113877
2023-01-11,665620426
2023-01-12,666097539
2023-01-13,666533383
2023-01-14,666754735
2023-01-15,666951599
2023-01-16,667166217
2023-01-17,667518310
2023-01-18,667896028
2023-01-19,668220526
2023-01-20,668562246
2023-01-21,668715650
2023-01-22,668830077
2023-01-23,669001131
2023-01-24,669272951
2023-01-25,669567171
2023-01-26,669848920
2023-01-27,670086844
2023-01-28,670220207
2023-01-29,670344054
2023-01-30,670503932
2023-01-31,670734589
2023-02-01,671032404
2023-02-02,671291489
2023-02-03,671529548
2023-02-04,671632287
2023-02-05,671721476
2023-02-06,671867463
2023-02-07,672065240
2023-02-08,672295338
2023-02-09,672554241
2023-02-10,672696324
2023-02-11,672828531
2023-02-12,672906177
2023-02-13,673044131
2023-02-14,673237731
2023-02-15,673477639
2023-02-16,673685532
2023-02-17,673878833
2023-02-18,673969796
2023-02-19,674056229
2023-02-20,674143589
2023-02-21,674323721
2023-02-22,674569824
2023-02-23,674790916
2023-02-24,674933342
2023-02-25,674978793
2023-02-26,675044414
2023-02-27,675171439
2023-02-28,675322238
2023-03-01,675542852
2023-03-02,675731911
2023-03-03,675914580
2023-03-04,675968775
2023-03-05,676024901
2023-03-06,676082941
2023-03-07,676213378
2023-03-08,676392824
2023-03-09,676570149
